Sample in Buffer,Sample in Window,TRIGGER,Brik1_u/PilotImag[17:0],Brik1_u/PilotReal[17:0]
26685,26685,0,-124727,22167
26686,26686,0,-124727,22167
26687,26687,0,-124727,22167
26688,26688,0,-124727,22167
26689,26689,0,-124727,22167
26690,26690,0,-124727,22167
26691,26691,0,-124727,22167
26692,26692,0,-94959,95769
26693,26693,0,-94959,95769
26694,26694,0,-94959,95769
26695,26695,0,-94959,95769
26696,26696,0,-72259,112501
26697,26697,0,-72259,112501
26698,26698,0,-72259,112501
26699,26699,0,-72259,112501
26700,26700,0,-57017,113404
26701,26701,0,-57017,113404
26702,26702,0,-57017,113404
26703,26703,0,-57017,113404
26704,26704,0,-38856,116279
26705,26705,0,-38856,116279
26706,26706,0,-38856,116279
26707,26707,0,-38856,116279
26708,26708,0,-36728,110069
26709,26709,0,-36728,110069
26710,26710,0,-36728,110069
26711,26711,0,-36728,110069
26712,26712,0,-38656,108391
26713,26713,0,-38656,108391
26714,26714,0,-38656,108391
26715,26715,0,-38656,108391
26716,26716,0,-39777,102169
26717,26717,0,-39777,102169
26718,26718,0,-39777,102169
26719,26719,0,-39777,102169
26720,26720,0,-47509,112569
26721,26721,0,-47509,112569
26722,26722,0,-47509,112569
26723,26723,0,-47509,112569
26724,26724,0,-47509,112569
26725,26725,0,-47509,112569
26726,26726,0,-47509,112569
26727,26727,0,-47509,112569
26728,26728,0,-50084,122296
26729,26729,0,-50084,122296
26730,26730,0,-50084,122296
26731,26731,0,-50084,122296
26732,26732,0,-50515,113580
26733,26733,0,-50515,113580
26734,26734,0,-50515,113580
26735,26735,0,-50515,113580
26736,26736,0,-54969,114201
26737,26737,0,-54969,114201
26738,26738,0,-54969,114201
26739,26739,0,-54969,114201
26740,26740,0,-56250,106096
26741,26741,0,-56250,106096
26742,26742,0,-56250,106096
26743,26743,0,-56250,106096
26744,26744,0,-62381,103384
26745,26745,0,-62381,103384
26746,26746,0,-62381,103384
26747,26747,0,-62381,103384
26748,26748,0,-73042,89315
26749,26749,0,-73042,89315
26750,26750,0,-73042,89315
26751,26751,0,-73042,89315
26752,26752,0,-82271,75696
26753,26753,0,-82271,75696
26754,26754,0,-82271,75696
26755,26755,0,-82271,75696
26756,26756,0,-102177,42655
26757,26757,0,-102177,42655
26758,26758,0,-102177,42655
26759,26759,0,-102177,42655
26760,26760,0,-102177,42655
26761,26761,0,-102177,42655
26762,26762,0,-102177,42655
26763,26763,0,-102177,42655
26764,26764,0,-122579,-36817
26765,26765,0,-122579,-36817
26766,26766,0,-122579,-36817
26767,26767,0,-122579,-36817
26768,26768,0,-91371,-86383
26769,26769,0,-91371,-86383
26770,26770,0,-91371,-86383
26771,26771,0,-91371,-86383
26772,26772,0,-55360,-105329
26773,26773,0,-55360,-105329
26774,26774,0,-55360,-105329
26775,26775,0,-55360,-105329
26776,26776,0,-28057,-121458
26777,26777,0,-28057,-121458
26778,26778,0,-28057,-121458
26779,26779,0,-28057,-121458
26780,26780,0,11991,-116790
26781,26781,0,11991,-116790
26782,26782,0,11991,-116790
26783,26783,0,11991,-116790
26784,26784,0,34170,-105675
26785,26785,0,34170,-105675
26786,26786,0,34170,-105675
26787,26787,0,34170,-105675
26788,26788,0,53203,-102225
26789,26789,0,53203,-102225
26790,26790,0,53203,-102225
26791,26791,0,53203,-102225
26792,26792,0,57363,-92725
26793,26793,0,57363,-92725
26794,26794,0,57363,-92725
26795,26795,0,57363,-92725
26796,26796,0,80613,-106060
26797,26797,0,80613,-106060
26798,26798,0,80613,-106060
26799,26799,0,80613,-106060
26800,26800,0,80613,-106060
26801,26801,0,80613,-106060
26802,26802,0,80613,-106060
26803,26803,0,80613,-106060
26804,26804,0,80521,-106996
26805,26805,0,80521,-106996
26806,26806,0,80521,-106996
26807,26807,0,80521,-106996
26808,26808,0,77734,-104040
26809,26809,0,77734,-104040
26810,26810,0,77734,-104040
26811,26811,0,77734,-104040
26812,26812,0,71607,-104761
26813,26813,0,71607,-104761
26814,26814,0,71607,-104761
26815,26815,0,71607,-104761
26816,26816,0,70238,-98936
26817,26817,0,70238,-98936
26818,26818,0,70238,-98936
26819,26819,0,70238,-98936
26820,26820,0,67878,-98993
26821,26821,0,67878,-98993
26822,26822,0,67878,-98993
26823,26823,0,67878,-98993
26824,26824,0,62086,-94402
26825,26825,0,62086,-94402
